Processing problem size: 100
Please wait, computing 10000 TSP100 instances...
[1/10000] Instance: TSP100_0, dim: 100, BKS: 7.4015, NN cost: 9.1535, GAP: 23.6711%
[2095/10000] Instance: TSP100_2094, dim: 100, BKS: 7.7666, NN cost: 8.9906, GAP: 15.7600%
[2096/10000] Instance: TSP100_2095, dim: 100, BKS: 7.5219, NN cost: 9.7673, GAP: 29.8517%
[2097/10000] Instance: TSP100_2096, dim: 100, BKS: 7.8071, NN cost: 9.3762, GAP: 20.0990%
[2098/10000] Instance: TSP100_2097, dim: 100, BKS: 7.9865, NN cost: 8.7895, GAP: 10.0549%
[2099/10000] Instance: TSP100_2098, dim: 100, BKS: 7.8940, NN cost: 10.0114, GAP: 26.8228%
[2100/10000] Instance: TSP100_2099, dim: 100, BKS: 7.6561, NN cost: 9.1046, GAP: 18.9196%
[2101/10000] Instance: TSP100_2100, dim: 100, BKS: 7.6785, NN cost: 10.1316, GAP: 31.9480%
[2102/10000] Instance: TSP100_2101, dim: 100, BKS: 8.0570, NN cost: 10.8979, GAP: 35.2605%
[2103/10000] Instance: TSP100_2102, dim: 100, BKS: 8.3895, NN cost: 10.3144, GAP: 22.9435%
[2104/10000] Instance: TSP100_2103, dim: 100, BKS: 7.8304, NN cost: 9.7294, GAP: 24.2517%
[2105/10000] Instance: TSP100_2104, dim: 100, BKS: 8.0207, NN cost: 9.7659, GAP: 21.7590%
[2106/10000] Instance: TSP100_2105, dim: 100, BKS: 7.9701, NN cost: 10.9240, GAP: 37.0626%
[2107/10000] Instance: TSP100_2106, dim: 100, BKS: 7.7733, NN cost: 10.0663, GAP: 29.4985%
[2108/10000] Instance: TSP100_2107, dim: 100, BKS: 7.8171, NN cost: 9.1167, GAP: 16.6251%
[2109/10000] Instance: TSP100_2108, dim: 100, BKS: 7.8349, NN cost: 9.5991, GAP: 22.5179%
[2110/10000] Instance: TSP100_2109, dim: 100, BKS: 7.8836, NN cost: 10.1978, GAP: 29.3550%
[2111/10000] Instance: TSP100_2110, dim: 100, BKS: 7.6393, NN cost: 9.5201, GAP: 24.6198%
[2112/10000] Instance: TSP100_2111, dim: 100, BKS: 7.6683, NN cost: 8.8326, GAP: 15.1842%
[2113/10000] Instance: TSP100_2112, dim: 100, BKS: 7.6526, NN cost: 8.9050, GAP: 16.3656%
[2114/10000] Instance: TSP100_2113, dim: 100, BKS: 7.8745, NN cost: 10.0384, GAP: 27.4795%
[2115/10000] Instance: TSP100_2114, dim: 100, BKS: 7.7601, NN cost: 9.4143, GAP: 21.3174%
[2116/10000] Instance: TSP100_2115, dim: 100, BKS: 7.6567, NN cost: 8.9711, GAP: 17.1671%
[2117/10000] Instance: TSP100_2116, dim: 100, BKS: 7.8646, NN cost: 9.4235, GAP: 19.8220%
[2118/10000] Instance: TSP100_2117, dim: 100, BKS: 7.9774, NN cost: 9.8355, GAP: 23.2921%
[2119/10000] Instance: TSP100_2118, dim: 100, BKS: 7.6578, NN cost: 9.2885, GAP: 21.2944%
[2120/10000] Instance: TSP100_2119, dim: 100, BKS: 7.9353, NN cost: 10.2828, GAP: 29.5827%
[2121/10000] Instance: TSP100_2120, dim: 100, BKS: 7.7449, NN cost: 10.2246, GAP: 32.0166%
[2122/10000] Instance: TSP100_2121, dim: 100, BKS: 7.8227, NN cost: 10.0544, GAP: 28.5276%
[2123/10000] Instance: TSP100_2122, dim: 100, BKS: 7.6470, NN cost: 9.5943, GAP: 25.4649%
[2124/10000] Instance: TSP100_2123, dim: 100, BKS: 7.7089, NN cost: 10.1448, GAP: 31.5982%
[2125/10000] Instance: TSP100_2124, dim: 100, BKS: 7.7543, NN cost: 10.1833, GAP: 31.3252%
[2126/10000] Instance: TSP100_2125, dim: 100, BKS: 7.9690, NN cost: 11.1184, GAP: 39.5205%
[2127/10000] Instance: TSP100_2126, dim: 100, BKS: 8.1389, NN cost: 10.4080, GAP: 27.8808%
[2128/10000] Instance: TSP100_2127, dim: 100, BKS: 7.7994, NN cost: 8.8958, GAP: 14.0577%
[2129/10000] Instance: TSP100_2128, dim: 100, BKS: 7.6514, NN cost: 10.0182, GAP: 30.9323%
[2130/10000] Instance: TSP100_2129, dim: 100, BKS: 7.5100, NN cost: 10.1431, GAP: 35.0610%
[2131/10000] Instance: TSP100_2130, dim: 100, BKS: 7.5782, NN cost: 9.0229, GAP: 19.0638%
[2132/10000] Instance: TSP100_2131, dim: 100, BKS: 7.4326, NN cost: 8.6379, GAP: 16.2158%
[2133/10000] Instance: TSP100_2132, dim: 100, BKS: 7.6502, NN cost: 10.0582, GAP: 31.4757%
[2134/10000] Instance: TSP100_2133, dim: 100, BKS: 7.9612, NN cost: 9.4412, GAP: 18.5906%
[2135/10000] Instance: TSP100_2134, dim: 100, BKS: 8.2267, NN cost: 11.2091, GAP: 36.2530%
[2136/10000] Instance: TSP100_2135, dim: 100, BKS: 7.3530, NN cost: 8.8377, GAP: 20.1915%
[2137/10000] Instance: TSP100_2136, dim: 100, BKS: 7.9112, NN cost: 8.9668, GAP: 13.3431%
[2138/10000] Instance: TSP100_2137, dim: 100, BKS: 7.8109, NN cost: 9.8371, GAP: 25.9417%
[2139/10000] Instance: TSP100_2138, dim: 100, BKS: 7.8192, NN cost: 9.9469, GAP: 27.2101%
[2140/10000] Instance: TSP100_2139, dim: 100, BKS: 7.8078, NN cost: 9.6298, GAP: 23.3365%
[2141/10000] Instance: TSP100_2140, dim: 100, BKS: 8.1489, NN cost: 11.5777, GAP: 42.0776%
[2142/10000] Instance: TSP100_2141, dim: 100, BKS: 7.6564, NN cost: 9.6571, GAP: 26.1305%
[2143/10000] Instance: TSP100_2142, dim: 100, BKS: 7.3838, NN cost: 8.5983, GAP: 16.4474%
[2144/10000] Instance: TSP100_2143, dim: 100, BKS: 7.7145, NN cost: 9.3392, GAP: 21.0609%
[2145/10000] Instance: TSP100_2144, dim: 100, BKS: 7.6300, NN cost: 9.7850, GAP: 28.2446%
[2146/10000] Instance: TSP100_2145, dim: 100, BKS: 7.6846, NN cost: 9.5518, GAP: 24.2973%
[2147/10000] Instance: TSP100_2146, dim: 100, BKS: 7.9209, NN cost: 9.8667, GAP: 24.5640%
[2148/10000] Instance: TSP100_2147, dim: 100, BKS: 7.5101, NN cost: 9.5823, GAP: 27.5929%
[2149/10000] Instance: TSP100_2148, dim: 100, BKS: 7.6066, NN cost: 9.1799, GAP: 20.6835%
[2150/10000] Instance: TSP100_2149, dim: 100, BKS: 7.4267, NN cost: 8.4561, GAP: 13.8609%
[2151/10000] Instance: TSP100_2150, dim: 100, BKS: 7.5495, NN cost: 9.2057, GAP: 21.9378%
[2152/10000] Instance: TSP100_2151, dim: 100, BKS: 7.8244, NN cost: 9.4144, GAP: 20.3209%
[2153/10000] Instance: TSP100_2152, dim: 100, BKS: 7.6457, NN cost: 8.9424, GAP: 16.9604%
[2154/10000] Instance: TSP100_2153, dim: 100, BKS: 7.6081, NN cost: 9.1884, GAP: 20.7713%
[2155/10000] Instance: TSP100_2154, dim: 100, BKS: 7.5522, NN cost: 8.5703, GAP: 13.4809%
[2156/10000] Instance: TSP100_2155, dim: 100, BKS: 7.7097, NN cost: 9.9814, GAP: 29.4654%
[2157/10000] Instance: TSP100_2156, dim: 100, BKS: 7.8982, NN cost: 9.8113, GAP: 24.2215%
[2158/10000] Instance: TSP100_2157, dim: 100, BKS: 7.8041, NN cost: 9.9201, GAP: 27.1147%
[2159/10000] Instance: TSP100_2158, dim: 100, BKS: 7.8177, NN cost: 9.7552, GAP: 24.7832%
[2160/10000] Instance: TSP100_2159, dim: 100, BKS: 7.9855, NN cost: 10.7962, GAP: 35.1966%
[2161/10000] Instance: TSP100_2160, dim: 100, BKS: 7.8693, NN cost: 9.1313, GAP: 16.0371%
[2162/10000] Instance: TSP100_2161, dim: 100, BKS: 8.0733, NN cost: 10.3237, GAP: 27.8742%
[2163/10000] Instance: TSP100_2162, dim: 100, BKS: 7.6356, NN cost: 8.7037, GAP: 13.9887%
[2164/10000] Instance: TSP100_2163, dim: 100, BKS: 7.6640, NN cost: 9.8427, GAP: 28.4287%
[2165/10000] Instance: TSP100_2164, dim: 100, BKS: 7.6818, NN cost: 10.2040, GAP: 32.8325%
[2166/10000] Instance: TSP100_2165, dim: 100, BKS: 7.7070, NN cost: 8.8861, GAP: 15.2986%
[2167/10000] Instance: TSP100_2166, dim: 100, BKS: 7.8796, NN cost: 9.8655, GAP: 25.2034%
[2168/10000] Instance: TSP100_2167, dim: 100, BKS: 7.8922, NN cost: 11.2085, GAP: 42.0210%
[2169/10000] Instance: TSP100_2168, dim: 100, BKS: 7.5631, NN cost: 9.5384, GAP: 26.1178%
[2170/10000] Instance: TSP100_2169, dim: 100, BKS: 8.0245, NN cost: 10.3260, GAP: 28.6812%
[2171/10000] Instance: TSP100_2170, dim: 100, BKS: 7.7280, NN cost: 9.2252, GAP: 19.3726%
[2172/10000] Instance: TSP100_2171, dim: 100, BKS: 7.9196, NN cost: 9.1402, GAP: 15.4127%
[2173/10000] Instance: TSP100_2172, dim: 100, BKS: 7.4321, NN cost: 9.5838, GAP: 28.9521%
[2174/10000] Instance: TSP100_2173, dim: 100, BKS: 7.7234, NN cost: 9.3454, GAP: 21.0000%
[2175/10000] Instance: TSP100_2174, dim: 100, BKS: 8.0402, NN cost: 8.7754, GAP: 9.1436%
[2176/10000] Instance: TSP100_2175, dim: 100, BKS: 7.4538, NN cost: 8.9269, GAP: 19.7631%
[2177/10000] Instance: TSP100_2176, dim: 100, BKS: 8.1603, NN cost: 9.7441, GAP: 19.4088%
[2178/10000] Instance: TSP100_2177, dim: 100, BKS: 7.5509, NN cost: 9.4352, GAP: 24.9550%
[2179/10000] Instance: TSP100_2178, dim: 100, BKS: 7.5763, NN cost: 8.8640, GAP: 16.9954%
[2180/10000] Instance: TSP100_2179, dim: 100, BKS: 8.0393, NN cost: 9.6298, GAP: 19.7837%
[2181/10000] Instance: TSP100_2180, dim: 100, BKS: 7.8479, NN cost: 10.0898, GAP: 28.5671%
[2182/10000] Instance: TSP100_2181, dim: 100, BKS: 7.7510, NN cost: 10.0102, GAP: 29.1474%
[2183/10000] Instance: TSP100_2182, dim: 100, BKS: 7.6815, NN cost: 9.8435, GAP: 28.1450%
[2184/10000] Instance: TSP100_2183, dim: 100, BKS: 8.2124, NN cost: 9.9438, GAP: 21.0820%
[2185/10000] Instance: TSP100_2184, dim: 100, BKS: 7.6733, NN cost: 9.9087, GAP: 29.1316%
[2186/10000] Instance: TSP100_2185, dim: 100, BKS: 7.8864, NN cost: 9.5180, GAP: 20.6898%
[2187/10000] Instance: TSP100_2186, dim: 100, BKS: 7.7982, NN cost: 10.0801, GAP: 29.2619%
[2188/10000] Instance: TSP100_2187, dim: 100, BKS: 8.0546, NN cost: 9.9359, GAP: 23.3576%
[2189/10000] Instance: TSP100_2188, dim: 100, BKS: 7.3709, NN cost: 9.0339, GAP: 22.5609%
[2190/10000] Instance: TSP100_2189, dim: 100, BKS: 7.9455, NN cost: 10.0422, GAP: 26.3878%
[2191/10000] Instance: TSP100_2190, dim: 100, BKS: 7.6241, NN cost: 10.0735, GAP: 32.1276%
[2192/10000] Instance: TSP100_2191, dim: 100, BKS: 7.5834, NN cost: 9.8879, GAP: 30.3884%
[2193/10000] Instance: TSP100_2192, dim: 100, BKS: 7.1796, NN cost: 10.3950, GAP: 44.7848%
[2194/10000] Instance: TSP100_2193, dim: 100, BKS: 7.5269, NN cost: 9.8001, GAP: 30.2007%
[2195/10000] Instance: TSP100_2194, dim: 100, BKS: 7.7547, NN cost: 11.4908, GAP: 48.1793%
[2196/10000] Instance: TSP100_2195, dim: 100, BKS: 7.7200, NN cost: 8.6551, GAP: 12.1123%
[2197/10000] Instance: TSP100_2196, dim: 100, BKS: 8.0158, NN cost: 10.2915, GAP: 28.3904%
[2198/10000] Instance: TSP100_2197, dim: 100, BKS: 7.6150, NN cost: 9.9796, GAP: 31.0527%
[2199/10000] Instance: TSP100_2198, dim: 100, BKS: 7.3929, NN cost: 8.2497, GAP: 11.5902%
[2200/10000] Instance: TSP100_2199, dim: 100, BKS: 8.0825, NN cost: 9.9338, GAP: 22.9058%
[2201/10000] Instance: TSP100_2200, dim: 100, BKS: 7.6265, NN cost: 8.8110, GAP: 15.5308%
[2202/10000] Instance: TSP100_2201, dim: 100, BKS: 7.6646, NN cost: 9.3053, GAP: 21.4068%
[2203/10000] Instance: TSP100_2202, dim: 100, BKS: 7.6324, NN cost: 9.6232, GAP: 26.0837%
[2204/10000] Instance: TSP100_2203, dim: 100, BKS: 8.0469, NN cost: 10.0373, GAP: 24.7353%
[2205/10000] Instance: TSP100_2204, dim: 100, BKS: 7.6116, NN cost: 9.1738, GAP: 20.5232%
[2206/10000] Instance: TSP100_2205, dim: 100, BKS: 7.7274, NN cost: 9.8311, GAP: 27.2239%
[2207/10000] Instance: TSP100_2206, dim: 100, BKS: 7.6212, NN cost: 10.3172, GAP: 35.3756%
[2208/10000] Instance: TSP100_2207, dim: 100, BKS: 7.6463, NN cost: 9.6667, GAP: 26.4220%
[2209/10000] Instance: TSP100_2208, dim: 100, BKS: 7.8014, NN cost: 9.4809, GAP: 21.5274%
[2210/10000] Instance: TSP100_2209, dim: 100, BKS: 7.5568, NN cost: 9.6445, GAP: 27.6262%
[2211/10000] Instance: TSP100_2210, dim: 100, BKS: 8.0503, NN cost: 9.7568, GAP: 21.1985%
[2212/10000] Instance: TSP100_2211, dim: 100, BKS: 7.6327, NN cost: 8.8779, GAP: 16.3139%
[2213/10000] Instance: TSP100_2212, dim: 100, BKS: 7.9353, NN cost: 9.1555, GAP: 15.3772%
[2214/10000] Instance: TSP100_2213, dim: 100, BKS: 7.5985, NN cost: 9.9371, GAP: 30.7779%
[2215/10000] Instance: TSP100_2214, dim: 100, BKS: 7.8596, NN cost: 9.6970, GAP: 23.3775%
[2216/10000] Instance: TSP100_2215, dim: 100, BKS: 7.8293, NN cost: 9.2169, GAP: 17.7235%
[2217/10000] Instance: TSP100_2216, dim: 100, BKS: 7.6824, NN cost: 9.2339, GAP: 20.1944%
[2218/10000] Instance: TSP100_2217, dim: 100, BKS: 7.8973, NN cost: 9.9912, GAP: 26.5136%
[2219/10000] Instance: TSP100_2218, dim: 100, BKS: 7.3993, NN cost: 9.3607, GAP: 26.5085%
[2220/10000] Instance: TSP100_2219, dim: 100, BKS: 7.5047, NN cost: 9.0505, GAP: 20.5966%
[2221/10000] Instance: TSP100_2220, dim: 100, BKS: 7.6358, NN cost: 10.7271, GAP: 40.4839%
[2222/10000] Instance: TSP100_2221, dim: 100, BKS: 7.6188, NN cost: 8.8359, GAP: 15.9748%
[2223/10000] Instance: TSP100_2222, dim: 100, BKS: 7.8141, NN cost: 10.1282, GAP: 29.6151%
[2224/10000] Instance: TSP100_2223, dim: 100, BKS: 7.9982, NN cost: 9.8552, GAP: 23.2166%
[2225/10000] Instance: TSP100_2224, dim: 100, BKS: 7.6456, NN cost: 9.9323, GAP: 29.9081%
[2226/10000] Instance: TSP100_2225, dim: 100, BKS: 7.5964, NN cost: 9.8114, GAP: 29.1594%
[2227/10000] Instance: TSP100_2226, dim: 100, BKS: 8.2122, NN cost: 10.5087, GAP: 27.9656%
[2228/10000] Instance: TSP100_2227, dim: 100, BKS: 7.6278, NN cost: 9.0824, GAP: 19.0698%
[2229/10000] Instance: TSP100_2228, dim: 100, BKS: 7.6151, NN cost: 9.5492, GAP: 25.3976%
[2230/10000] Instance: TSP100_2229, dim: 100, BKS: 7.3376, NN cost: 9.1230, GAP: 24.3328%
[2231/10000] Instance: TSP100_2230, dim: 100, BKS: 7.6979, NN cost: 9.2920, GAP: 20.7092%
[2232/10000] Instance: TSP100_2231, dim: 100, BKS: 7.4821, NN cost: 10.4298, GAP: 39.3971%
[2233/10000] Instance: TSP100_2232, dim: 100, BKS: 7.7795, NN cost: 9.7566, GAP: 25.4136%
[2234/10000] Instance: TSP100_2233, dim: 100, BKS: 7.6147, NN cost: 9.6587, GAP: 26.8429%
[2235/10000] Instance: TSP100_2234, dim: 100, BKS: 7.6722, NN cost: 9.2571, GAP: 20.6585%
[2236/10000] Instance: TSP100_2235, dim: 100, BKS: 8.1630, NN cost: 10.8669, GAP: 33.1231%
[2237/10000] Instance: TSP100_2236, dim: 100, BKS: 7.7567, NN cost: 10.5949, GAP: 36.5901%
[2238/10000] Instance: TSP100_2237, dim: 100, BKS: 7.8518, NN cost: 9.7798, GAP: 24.5548%
[2239/10000] Instance: TSP100_2238, dim: 100, BKS: 7.9283, NN cost: 10.0449, GAP: 26.6972%
[2240/10000] Instance: TSP100_2239, dim: 100, BKS: 7.3149, NN cost: 9.1304, GAP: 24.8192%
[2241/10000] Instance: TSP100_2240, dim: 100, BKS: 7.7190, NN cost: 9.1758, GAP: 18.8734%
[2242/10000] Instance: TSP100_2241, dim: 100, BKS: 7.8901, NN cost: 9.6261, GAP: 22.0034%
[2243/10000] Instance: TSP100_2242, dim: 100, BKS: 7.8723, NN cost: 9.5537, GAP: 21.3580%
[2244/10000] Instance: TSP100_2243, dim: 100, BKS: 8.2624, NN cost: 10.4851, GAP: 26.9005%
[2245/10000] Instance: TSP100_2244, dim: 100, BKS: 7.5422, NN cost: 9.2608, GAP: 22.7863%
[2246/10000] Instance: TSP100_2245, dim: 100, BKS: 8.2229, NN cost: 10.8161, GAP: 31.5361%
[2247/10000] Instance: TSP100_2246, dim: 100, BKS: 7.6315, NN cost: 9.1250, GAP: 19.5700%
[2248/10000] Instance: TSP100_2247, dim: 100, BKS: 7.4081, NN cost: 9.1844, GAP: 23.9767%
[2249/10000] Instance: TSP100_2248, dim: 100, BKS: 7.4532, NN cost: 10.0365, GAP: 34.6599%
[2250/10000] Instance: TSP100_2249, dim: 100, BKS: 8.2840, NN cost: 10.2272, GAP: 23.4572%
[2251/10000] Instance: TSP100_2250, dim: 100, BKS: 7.5898, NN cost: 9.2880, GAP: 22.3745%
[2252/10000] Instance: TSP100_2251, dim: 100, BKS: 7.5131, NN cost: 9.9959, GAP: 33.0467%
[2253/10000] Instance: TSP100_2252, dim: 100, BKS: 7.4996, NN cost: 9.0496, GAP: 20.6668%
[2254/10000] Instance: TSP100_2253, dim: 100, BKS: 7.8071, NN cost: 9.4642, GAP: 21.2260%
[2255/10000] Instance: TSP100_2254, dim: 100, BKS: 7.9459, NN cost: 9.4985, GAP: 19.5391%
[2256/10000] Instance: TSP100_2255, dim: 100, BKS: 7.5762, NN cost: 11.1800, GAP: 47.5683%
[2257/10000] Instance: TSP100_2256, dim: 100, BKS: 7.4739, NN cost: 9.4940, GAP: 27.0297%
[2258/10000] Instance: TSP100_2257, dim: 100, BKS: 7.6562, NN cost: 9.6762, GAP: 26.3839%
[2259/10000] Instance: TSP100_2258, dim: 100, BKS: 7.7904, NN cost: 9.7038, GAP: 24.5606%
[2260/10000] Instance: TSP100_2259, dim: 100, BKS: 7.8181, NN cost: 9.4742, GAP: 21.1831%
[2261/10000] Instance: TSP100_2260, dim: 100, BKS: 7.8291, NN cost: 9.9926, GAP: 27.6336%
[2262/10000] Instance: TSP100_2261, dim: 100, BKS: 7.6437, NN cost: 9.3972, GAP: 22.9401%
[2263/10000] Instance: TSP100_2262, dim: 100, BKS: 7.9960, NN cost: 10.3750, GAP: 29.7529%
[2264/10000] Instance: TSP100_2263, dim: 100, BKS: 7.6774, NN cost: 9.5539, GAP: 24.4426%
[2265/10000] Instance: TSP100_2264, dim: 100, BKS: 7.3102, NN cost: 8.5271, GAP: 16.6464%
[2266/10000] Instance: TSP100_2265, dim: 100, BKS: 7.6731, NN cost: 9.5313, GAP: 24.2177%
[2267/10000] Instance: TSP100_2266, dim: 100, BKS: 7.9998, NN cost: 9.6532, GAP: 20.6682%
[2268/10000] Instance: TSP100_2267, dim: 100, BKS: 7.4888, NN cost: 8.8996, GAP: 18.8384%
[2269/10000] Instance: TSP100_2268, dim: 100, BKS: 7.7798, NN cost: 8.7304, GAP: 12.2180%
[2270/10000] Instance: TSP100_2269, dim: 100, BKS: 7.8838, NN cost: 9.8320, GAP: 24.7115%
[2271/10000] Instance: TSP100_2270, dim: 100, BKS: 7.8931, NN cost: 8.8793, GAP: 12.4942%
[2272/10000] Instance: TSP100_2271, dim: 100, BKS: 8.1852, NN cost: 9.9128, GAP: 21.1062%
[2273/10000] Instance: TSP100_2272, dim: 100, BKS: 7.7259, NN cost: 9.5003, GAP: 22.9659%
[2274/10000] Instance: TSP100_2273, dim: 100, BKS: 7.9509, NN cost: 10.0978, GAP: 27.0012%
[2275/10000] Instance: TSP100_2274, dim: 100, BKS: 7.7337, NN cost: 9.3777, GAP: 21.2575%
[2276/10000] Instance: TSP100_2275, dim: 100, BKS: 7.3779, NN cost: 8.8613, GAP: 20.1057%
[2277/10000] Instance: TSP100_2276, dim: 100, BKS: 7.6252, NN cost: 10.0418, GAP: 31.6922%
[2278/10000] Instance: TSP100_2277, dim: 100, BKS: 7.9222, NN cost: 9.4281, GAP: 19.0086%
[2279/10000] Instance: TSP100_2278, dim: 100, BKS: 7.7207, NN cost: 9.3416, GAP: 20.9954%
[2280/10000] Instance: TSP100_2279, dim: 100, BKS: 7.4548, NN cost: 9.9240, GAP: 33.1212%
[2281/10000] Instance: TSP100_2280, dim: 100, BKS: 7.6674, NN cost: 10.3573, GAP: 35.0828%
[2282/10000] Instance: TSP100_2281, dim: 100, BKS: 7.6730, NN cost: 9.2537, GAP: 20.6006%
[2283/10000] Instance: TSP100_2282, dim: 100, BKS: 7.9835, NN cost: 9.8758, GAP: 23.7026%
[2284/10000] Instance: TSP100_2283, dim: 100, BKS: 7.7497, NN cost: 9.7961, GAP: 26.4063%
[2285/10000] Instance: TSP100_2284, dim: 100, BKS: 8.0257, NN cost: 9.8125, GAP: 22.2631%
[2286/10000] Instance: TSP100_2285, dim: 100, BKS: 7.8337, NN cost: 9.6210, GAP: 22.8149%
[2287/10000] Instance: TSP100_2286, dim: 100, BKS: 7.9996, NN cost: 10.2708, GAP: 28.3908%
[2288/10000] Instance: TSP100_2287, dim: 100, BKS: 7.6585, NN cost: 9.1013, GAP: 18.8393%
[2289/10000] Instance: TSP100_2288, dim: 100, BKS: 8.0506, NN cost: 10.3210, GAP: 28.2012%
[2290/10000] Instance: TSP100_2289, dim: 100, BKS: 7.6582, NN cost: 9.2290, GAP: 20.5122%
[2291/10000] Instance: TSP100_2290, dim: 100, BKS: 7.4680, NN cost: 8.8322, GAP: 18.2680%
[2292/10000] Instance: TSP100_2291, dim: 100, BKS: 7.6337, NN cost: 9.7103, GAP: 27.2023%
[2293/10000] Instance: TSP100_2292, dim: 100, BKS: 7.6091, NN cost: 9.9679, GAP: 30.9994%
[2294/10000] Instance: TSP100_2293, dim: 100, BKS: 8.2944, NN cost: 10.7128, GAP: 29.1569%
[2295/10000] Instance: TSP100_2294, dim: 100, BKS: 7.5077, NN cost: 8.6699, GAP: 15.4806%
[2296/10000] Instance: TSP100_2295, dim: 100, BKS: 7.6260, NN cost: 9.6988, GAP: 27.1802%
[2297/10000] Instance: TSP100_2296, dim: 100, BKS: 7.6892, NN cost: 9.6323, GAP: 25.2700%
[2298/10000] Instance: TSP100_2297, dim: 100, BKS: 7.4742, NN cost: 10.0418, GAP: 34.3525%
[2299/10000] Instance: TSP100_2298, dim: 100, BKS: 7.9104, NN cost: 9.6758, GAP: 22.3170%
[2300/10000] Instance: TSP100_2299, dim: 100, BKS: 7.5178, NN cost: 8.7201, GAP: 15.9931%
[2301/10000] Instance: TSP100_2300, dim: 100, BKS: 8.2059, NN cost: 9.2313, GAP: 12.4963%
[2302/10000] Instance: TSP100_2301, dim: 100, BKS: 8.0150, NN cost: 9.7226, GAP: 21.3048%
[2303/10000] Instance: TSP100_2302, dim: 100, BKS: 8.0353, NN cost: 9.2264, GAP: 14.8230%
[2304/10000] Instance: TSP100_2303, dim: 100, BKS: 7.9809, NN cost: 9.4717, GAP: 18.6800%
[2305/10000] Instance: TSP100_2304, dim: 100, BKS: 7.9333, NN cost: 9.4220, GAP: 18.7660%
[2306/10000] Instance: TSP100_2305, dim: 100, BKS: 8.1253, NN cost: 9.6843, GAP: 19.1869%
[2307/10000] Instance: TSP100_2306, dim: 100, BKS: 7.8773, NN cost: 10.0845, GAP: 28.0200%
[2308/10000] Instance: TSP100_2307, dim: 100, BKS: 7.9622, NN cost: 9.0919, GAP: 14.1891%
[2309/10000] Instance: TSP100_2308, dim: 100, BKS: 7.8687, NN cost: 9.9985, GAP: 27.0662%
[2310/10000] Instance: TSP100_2309, dim: 100, BKS: 7.7484, NN cost: 10.0001, GAP: 29.0594%
[2311/10000] Instance: TSP100_2310, dim: 100, BKS: 7.5802, NN cost: 10.0265, GAP: 32.2722%
[2312/10000] Instance: TSP100_2311, dim: 100, BKS: 8.1080, NN cost: 10.4481, GAP: 28.8607%
[2313/10000] Instance: TSP100_2312, dim: 100, BKS: 7.4124, NN cost: 9.7739, GAP: 31.8585%
[2314/10000] Instance: TSP100_2313, dim: 100, BKS: 7.9195, NN cost: 10.0750, GAP: 27.2170%
[2315/10000] Instance: TSP100_2314, dim: 100, BKS: 7.6485, NN cost: 9.2968, GAP: 21.5511%
[2316/10000] Instance: TSP100_2315, dim: 100, BKS: 7.8727, NN cost: 9.2756, GAP: 17.8198%
[2317/10000] Instance: TSP100_2316, dim: 100, BKS: 7.9415, NN cost: 10.8348, GAP: 36.4329%
[2318/10000] Instance: TSP100_2317, dim: 100, BKS: 8.1045, NN cost: 10.5274, GAP: 29.8947%
[2319/10000] Instance: TSP100_2318, dim: 100, BKS: 8.0228, NN cost: 9.2919, GAP: 15.8185%
[2320/10000] Instance: TSP100_2319, dim: 100, BKS: 8.1334, NN cost: 10.0768, GAP: 23.8941%
[2321/10000] Instance: TSP100_2320, dim: 100, BKS: 7.4705, NN cost: 9.4316, GAP: 26.2510%
[2322/10000] Instance: TSP100_2321, dim: 100, BKS: 7.6832, NN cost: 9.7236, GAP: 26.5571%
[2323/10000] Instance: TSP100_2322, dim: 100, BKS: 7.8702, NN cost: 10.7254, GAP: 36.2784%
[2324/10000] Instance: TSP100_2323, dim: 100, BKS: 8.0803, NN cost: 10.0626, GAP: 24.5332%
[2325/10000] Instance: TSP100_2324, dim: 100, BKS: 7.8653, NN cost: 10.1219, GAP: 28.6903%
[2326/10000] Instance: TSP100_2325, dim: 100, BKS: 7.8522, NN cost: 10.2268, GAP: 30.2418%
[2327/10000] Instance: TSP100_2326, dim: 100, BKS: 7.4690, NN cost: 10.1955, GAP: 36.5046%
[2328/10000] Instance: TSP100_2327, dim: 100, BKS: 7.4827, NN cost: 8.8221, GAP: 17.8998%
[2329/10000] Instance: TSP100_2328, dim: 100, BKS: 7.7013, NN cost: 9.4117, GAP: 22.2094%
[2330/10000] Instance: TSP100_2329, dim: 100, BKS: 7.5351, NN cost: 10.2445, GAP: 35.9573%
[2331/10000] Instance: TSP100_2330, dim: 100, BKS: 7.8513, NN cost: 9.8604, GAP: 25.5885%
[2332/10000] Instance: TSP100_2331, dim: 100, BKS: 7.8980, NN cost: 9.8130, GAP: 24.2466%
[2333/10000] Instance: TSP100_2332, dim: 100, BKS: 7.8864, NN cost: 10.7655, GAP: 36.5074%
[2334/10000] Instance: TSP100_2333, dim: 100, BKS: 7.7926, NN cost: 9.8727, GAP: 26.6935%
[2335/10000] Instance: TSP100_2334, dim: 100, BKS: 7.5235, NN cost: 9.5030, GAP: 26.3114%
[2336/10000] Instance: TSP100_2335, dim: 100, BKS: 7.8854, NN cost: 9.9927, GAP: 26.7243%
[2337/10000] Instance: TSP100_2336, dim: 100, BKS: 8.0973, NN cost: 10.2989, GAP: 27.1900%
[2338/10000] Instance: TSP100_2337, dim: 100, BKS: 7.7937, NN cost: 9.9269, GAP: 27.3705%
